S.NO ,DATE,ORGANIZATION,HEADLINE,TYPE,LINK
1,"December 29, 2021",Digital Rights Foundation,"""Dedicated Fact Checkers Face an Uphill Fight in Pakistan’s Treacherous (Fake) News Landscape""","media review/ 
op-ed",https://web.archive.org/web/20220127173229/https://hamarainternet.org/dedicated-fact-checkers-face-an-uphill-fight-in-pakistans-trecharous-fake-news-landscape/ 
2,"April 4, 2021",Digital Rights Monitor,"""Worrying Levels Of Support For Terrorist Organisations On Facebook""",investigation,https://www.digitalrightsmonitor.pk/worrying-levels-of-support-for-terrorist-organisations-on-facebook/?fbclid=IwAR0DxL__dYfSBYCR1m0kWSflSpaViuC1Yi40oHOBeJq03nG7ubfDE-S-nKM
3,"December 25, 2022",The News,Fake News Round Up,"media review/
op-ed",https://www.thenews.com.pk/tns/detail/1023032-fake-news-roundup
4,"January 29, 2023",The News,The Sound of Silence,,https://www.thenews.com.pk/tns/detail/1035099-the-sound-of-silence
5,October - December 2023,Rest of World,"I worked on a documentary shortfilm for the Rest of World, highlighting the lives and concers of
e-commerce livestreamers in Pakistan, Indonesia and Vietnam.",media review,https://restofworld.org/2023/china-shopping-streaming-influencers/
6,"November 1, 2024",Limn Magazine ,Refusing Abandonment: Cochlear implants deemed obsolete in one country become vital in another,journal article,https://limn.press/issue/obsolescence/
7,"April 10, 2025",Geo News English,Will EVs help clean Pakistan's air — or just shift pollution elsewhere?,explainer feature,https://www.geo.tv/latest/599346-are-evs-driving-pakistans-energy-transition-or-just-adding-to-smoke
8,"May 8, 2025",Dawn News English,The Rundown On India Pakistan Conflict with Shahzeb Jilani and Farieha Aziz,broadcast, https://www.youtube.com/watch?v=3GCZcwMW3r4 
9,"May 28, 2025",Raftar ,What If Pakistan Had No Nukes? ,podcast,https://www.youtube.com/watch?v=FquQZLPnfcE
10,"September 26, 2025",Drop Site News,How the Commonwealth Organization Colluded with Pakistan to Suppress Evidence of a Rigged Election,"investigation 
(contributed reporting)",https://www.dropsitenews.com/p/commonwealth-organization-pakistan-colluded-election-rigging-report-united-nations?utm_source=publication-search
11,"October 1, 2025",Drop Site News,Reported on Mohsin Mahdawi's case for the newletter,reportage,https://www.dropsitenews.com/p/drop-site-daily-israel-final-warning-gaza-city-rashid-road-us-government-shutdown
12,"October 3, 2025",Columbia Journalism Broadcast,Anchor Test,anchor test,https://jamesbittel.sharefile.com/public/share/web-sc469feb200474f409d0de984942522a5
13,"October 26, 2025",Drop Site News,Covered NYC Is Not For Sale Rally ,reportage,https://x.com/DropSiteNews/status/1982614985361494157
14,"October 30, 2025",Breaking Points,An Interview with NYC Mayoral Candidate Zohran Mamdani,filming,https://www.youtube.com/watch?v=j2mElTS2SFA&t=1s
15,"November 4, 2025",Drop Site News,Election Day Interview with Bushwick Residents,vox populi,https://x.com/DropSiteNews/status/1985812234656714785?s=20
16,"December 7, 2025",Drop Site News,Covered the illegitimate political prosecution of human rights defender Imaan Mazari by Pakistan government ,social media ,https://x.com/DropSiteNews/status/1997879375568449674?s=20
17,"January 1, 2025",Drop Site News,Zohran Mamdani's mayoral inauguration,reportage,https://x.com/AreebaFatimaa/status/2006889321698038031?s=20
18,"January 1, 2025",Social Video,Core Team Members & Friends React to Mamdani's Inauguration ,social video,https://www.instagram.com/reel/DTFd1i9EaAC/?igsh=em9pMmVia3EyYW51
19,"January 1, 2025",Social Video,Mayor Mamdani's Inauguration Block Party,social video,https://www.instagram.com/reel/DTFea5ykfwC/?igsh=MXdhNnljOWZkN3RtZw==
20,"January 1, 2025",Social Video,27-year-old nanny waves Hind Rajab's photo at the Mamdani inauguration ,social video,https://www.instagram.com/reel/DTG3nOmkcvM/?igsh=cnp2NHM5NW5mcjY5
21,"January 5, 2025",Social Video,Nicolas Maduro's trial at SDNY in Manhattan,social media,https://x.com/DropSiteNews/status/2008222462048137564?s=20
22,"January 5, 2025",Drop Site News,BREAKING: Audience member reveals Cilia Flores' bruises (Interview),social video,https://x.com/DropSiteNews/status/2008288987681574992?s=20
23,"January 5, 2025",Drop Site News,Sara Flounders expresses support for Maduro,social video,https://x.com/DropSiteNews/status/2008313088852799581?s=20
25,"January 5, 2025",Drop Site News,Interview: Julian Assange's legal counsel Barry Pollack will consult Maduro,social video,https://x.com/DropSiteNews/status/2008409837458149594?s=20
24,"January 6, 2025",Soch Videos,Nicolas Maduro: abducted president presented in court,social video,https://www.instagram.com/p/DTLTGBND94O/
26,"January 7, 2025",Drop Site News,Could Maduro's case be thrown out by judge? ,social video ,https://www.instagram.com/reel/DTN91YJCXmo/?igsh=MWVzOW4wcDlhbWt0Zw==
27,"January 6, 2025",Drop Site News,Maduro pleads not guilty in U.S. court; DOJ drops claim that “Cartel De Los Soles” exists; CDC slashes vaccine recommendations for children,Newsletter ,https://www.dropsitenews.com/p/nicolas-maduro-not-guilty-doj-cartel-de-los-soles-federal-court-cdc-vaccines-children-drop-site-daily
